FloatID,Station,longitude_degrees_east,latitude_degrees_north,Pressure_dbar,Temperature_Celcius,salinity_pss,Sigma_theta_kg_m_pow_minus_3,depth_m,oxygen_mu_molkg_pow_minus_1,oxygen_QF,oxygen saturation_QF,nitrate_mu_mol_kg_pow_minus_1,nitrate_QF,chl_a_mg_m_pow_minus_3,chl_a_QF,b_bp700_m_pow_minus_1,b_bp700_QF,POC_milli_mol_m_pow_minus_3,POC_QF,pH_insitu_total,pH_insitu_QF,pH_25C_total,pH_25C_QF,TALK_micro_mol_kg_pow_minus_1,TALK_QF,DIC_micro_mol_kg_pow_minus_1,DIC_QF,pCO2_micro_atm,pCO2_QF,CDOM_ppb,CDOM_QF
1902303.0,1.0,345.264,49.233,56.0,11.904,35.539,27.028,55.516,268.17,0.0,0.0,6.74,0.0,1.0419,0.0,0.001769,0.0,4.85,0.0,8.0646,0.0,7.8695,0.0,2337.0,0.0,2123.0,0.0,381.8,0.0,1.73,1.0
1902303.0,1.0,345.264,49.233,50.0,12.188,35.537,26.972,49.569,274.59,0.0,0.0,5.32,0.0,0.8002,0.0,0.00158,0.0,4.36,0.0,8.0853,0.0,7.8937,0.0,2337.0,0.0,2111.0,0.0,361.6,0.0,1.73,1.0
1902303.0,1.0,345.264,49.233,46.0,12.281,35.537,26.954,45.604,276.41,0.0,0.0,5.07,0.0,0.6765,0.0,0.001647,0.0,4.53,0.0,8.091,0.0,7.9006,0.0,2338.0,0.0,2108.0,0.0,356.2,0.0,1.73,1.0
1902303.0,1.0,345.264,49.233,42.0,12.364,35.537,26.937,41.639,278.37,0.0,0.0,4.54,0.0,0.6456,0.0,0.001857,0.0,5.08,0.0,8.098,0.0,7.9085,0.0,2338.0,0.0,2104.0,0.0,349.8,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,36.0,12.383,35.538,26.934,35.691,280.22,0.0,0.0,4.32,0.0,0.6634,0.0,0.001711,0.0,4.7,0.0,8.1006,0.0,7.9111,0.0,2338.0,0.0,2103.0,0.0,347.6,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,32.0,12.383,35.539,26.935,31.725,280.56,0.0,0.0,4.25,0.0,0.759,0.0,0.001865,0.0,5.1,0.0,8.1008,0.0,7.9112,0.0,2338.0,0.0,2103.0,0.0,347.5,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,26.0,12.383,35.539,26.935,25.777,280.68,0.0,0.0,4.18,0.0,0.6709,0.0,0.001764,0.0,4.84,0.0,8.1013,0.0,7.9114,0.0,2338.0,0.0,2102.0,0.0,347.4,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,22.0,12.381,35.539,26.935,21.812,280.75,0.0,0.0,4.27,0.0,0.7252,0.0,0.001876,0.0,5.13,0.0,8.1013,0.0,7.9112,0.0,2338.0,0.0,2103.0,0.0,347.5,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,16.0,12.382,35.539,26.935,15.863,280.91,0.0,0.0,4.25,0.0,0.8302,0.0,0.001841,0.0,5.04,0.0,8.1025,0.0,7.9122,0.0,2338.0,0.0,2102.0,0.0,346.6,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,12.0,12.378,35.539,26.935,11.898,280.89,0.0,0.0,4.08,0.0,0.7674,0.0,0.001849,0.0,5.06,0.0,8.1024,0.0,7.9119,0.0,2338.0,0.0,2102.0,0.0,346.9,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,7.9,12.38,35.539,26.935,7.833,280.9,0.0,0.0,4.17,0.0,0.7543,0.0,0.001793,0.0,4.92,0.0,8.1023,0.0,7.9117,0.0,2338.0,0.0,2102.0,0.0,347.2,0.0,1.68,1.0
1902303.0,3.0,345.394,48.914,902.0,9.09,35.426,27.454,892.416,194.09,0.0,0.0,17.35,0.0,0.0056,0.0,0.000353,0.0,1.17,0.0,7.9607,0.0,7.7583,0.0,2336.0,0.0,2173.0,0.0,454.4,0.0,2.13,1.0
1902303.0,3.0,345.394,48.914,840.0,9.342,35.391,27.385,831.198,195.26,0.0,0.0,16.97,0.0,0.0056,0.0,0.000225,0.0,0.84,0.0,7.9568,0.0,7.756,0.0,2332.0,0.0,2171.0,0.0,462.0,0.0,2.12,1.0
1902303.0,3.0,345.394,48.914,780.0,9.637,35.368,27.317,771.938,200.05,0.0,0.0,16.63,0.0,0.0047,0.0,0.000223,0.0,0.83,0.0,7.9598,0.0,7.761,0.0,2329.0,0.0,2165.0,0.0,461.3,0.0,2.07,1.0
1902303.0,3.0,345.394,48.914,748.0,9.855,35.376,27.286,740.325,207.44,0.0,0.0,15.62,0.0,0.0028,0.0,0.00021,0.0,0.8,0.0,7.966,0.0,7.769,0.0,2329.0,0.0,2162.0,0.0,455.8,0.0,2.05,1.0
1902303.0,3.0,345.394,48.914,688.0,10.114,35.375,27.24,681.039,223.41,0.0,0.0,14.12,0.0,0.0028,0.0,0.000192,0.0,0.75,0.0,7.9823,0.0,7.7862,0.0,2327.0,0.0,2153.0,0.0,439.9,0.0,1.96,1.0
1902303.0,3.0,345.394,48.914,632.0,10.369,35.398,27.213,625.689,240.65,0.0,0.0,12.24,0.0,0.0019,0.0,0.000232,0.0,0.86,0.0,7.9987,0.0,7.8037,0.0,2327.0,0.0,2144.0,0.0,424.3,0.0,1.85,1.0
1902303.0,3.0,345.394,48.914,576.0,10.504,35.401,27.19,570.325,241.57,0.0,0.0,12.03,0.0,0.0028,0.0,0.000216,0.0,0.82,0.0,8.0011,0.0,7.806,0.0,2320.0,0.0,2137.0,0.0,423.2,0.0,1.85,1.0
1902303.0,3.0,345.394,48.914,546.0,10.636,35.416,27.178,540.66,242.82,0.0,0.0,11.52,0.0,0.0028,0.0,0.000248,0.0,0.9,0.0,8.0066,0.0,7.8122,0.0,2313.0,0.0,2128.0,0.0,417.4,0.0,1.83,1.0
1902303.0,3.0,345.394,48.914,490.0,10.809,35.439,27.164,485.273,252.44,0.0,0.0,10.38,0.0,0.0019,0.0,0.000246,0.0,0.89,0.0,8.0218,0.0,7.8275,0.0,2298.0,0.0,2106.0,0.0,400.9,0.0,1.76,1.0
1902303.0,3.0,345.394,48.914,438.0,10.905,35.451,27.155,433.829,257.36,0.0,0.0,9.75,0.0,0.0019,0.0,0.000259,0.0,0.93,0.0,8.0317,0.0,7.8365,0.0,2301.0,0.0,2105.0,0.0,393.5,0.0,1.71,1.0
1902303.0,3.0,345.394,48.914,376.0,10.944,35.455,27.149,372.475,258.93,0.0,0.0,9.64,0.0,0.0037,0.0,0.000249,0.0,0.9,0.0,8.0371,0.0,7.8401,0.0,2307.0,0.0,2108.0,0.0,391.6,0.0,1.7,1.0
1902303.0,3.0,345.394,48.914,346.0,10.961,35.456,27.146,342.781,259.16,0.0,0.0,9.65,0.0,0.0047,0.0,0.000259,0.0,0.93,0.0,8.039,0.0,7.8411,0.0,2314.0,0.0,2115.0,0.0,392.3,0.0,1.68,1.0
1902303.0,3.0,345.394,48.914,316.0,10.982,35.455,27.141,313.083,258.04,0.0,0.0,9.74,0.0,0.0056,0.0,0.002066,0.0,5.63,0.0,8.0389,0.0,7.8401,0.0,2324.0,0.0,2125.0,0.0,395.6,0.0,1.71,1.0
1902303.0,3.0,345.394,48.914,286.0,11.061,35.466,27.134,283.38,258.53,0.0,0.0,9.66,0.0,0.0103,0.0,0.000329,0.0,1.11,0.0,8.0417,0.0,7.843,0.0,2330.0,0.0,2129.0,0.0,395.0,0.0,1.69,1.0
1902303.0,3.0,345.394,48.914,256.0,11.12,35.473,27.128,253.673,258.12,0.0,0.0,9.55,0.0,0.0178,0.0,0.000276,0.0,0.97,0.0,8.0424,0.0,7.8435,0.0,2331.0,0.0,2130.0,0.0,395.8,0.0,1.69,1.0
1902303.0,3.0,345.394,48.914,226.0,11.18,35.481,27.123,223.962,257.81,0.0,0.0,9.45,0.0,0.0131,0.0,0.000305,0.0,1.05,0.0,8.0427,0.0,7.8435,0.0,2332.0,0.0,2130.0,0.0,397.0,0.0,1.69,1.0
1902303.0,3.0,345.394,48.914,198.0,11.218,35.485,27.118,196.228,257.28,0.0,0.0,9.53,0.0,0.0272,0.0,0.000366,0.0,1.21,0.0,8.0424,0.0,7.8428,0.0,2333.0,0.0,2131.0,0.0,398.8,0.0,1.74,1.0
